이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,지역,고객 세그먼트
Sophie Dupont,1994-02-02,31,남,0269057923,pireselodie@masse.fr,"493, avenue Gilbert Bonnin, 19517 Maréchal-sur-Mer",devauxmanon,2024-09-20,대형 세단,Tucson(NX4),False,2025-03-18,36439841,계좌이체,1,오프라인,2019-10,서유럽,3
Anna Laurent,1976-06-18,49,남,05 86 98 56 87,mboutin@tele2.fr,"980, boulevard Margaux Cordier, 52163 Laine",ycourtois,2023-05-22,준대형 세단,Carnival,False,2025-03-25,59395167,현금,3,온라인,2022-11,서유럽,1
Paul Müller,1999-09-22,26,여,+33 (0)1 10 51 18 42,gerard02@laposte.net,"635, avenue de Leleu, 83526 Pages",qmoulin,2024-07-15,준중형 세단,K2,False,2024-09-22,26135697,신용카드,2,오프라인,2020-12,서유럽,3
Camille Petit,1994-04-26,31,남,01 06 70 62 50,pchauveau@antoine.com,"7, boulevard de Bourdon, 23236 Jacquot-sur-Mer",vgrenier,2025-03-01,준중형 해치백,Carnival,False,2025-03-13,25748255,계좌이체,2,온라인,2020-06,서유럽,3
Nicolas Meyer,1967-06-29,58,여,+33 (0)5 97 31 11 20,lroy@carlier.com,"4, boulevard de Rodriguez, 33409 Tanguy",umoulin,2023-06-25,준중형 세단,Rio(pride),False,2024-05-29,40497818,계좌이체,6,오프라인,2023-07,서유럽,2
Anna Petit,1976-11-05,49,여,+33 8 02 66 24 29,lhubert@voila.fr,"76, rue Charrier, 22800 Louis",olefevre,2025-02-17,중형 SUV,Rio(pride),False,2025-03-24,62769772,현금,3,오프라인,2020-12,서유럽,1
Paul Müller,1992-02-25,33,여,+33 (0)1 93 14 17 33,lerouxnicolas@sfr.fr,"9, chemin de Le Goff, 97515 Guillot",gabrielle97,2022-11-20,소형 해치백,Syros,False,2024-05-13,36645596,신용카드,1,온라인,2019-12,서유럽,3
Luca Dupont,1965-09-05,60,남,01 71 32 23 70,francoisdupuis@michaud.org,"601, rue de Louis, 83326 Fournier",lemairejerome,2024-06-27,소형 해치백,Accent (HC),False,2024-07-24,47367661,계좌이체,1,오프라인,2020-02,서유럽,0
Anna Schmidt,1998-08-19,27,여,0389364590,salmonbertrand@turpin.com,"18, rue Alice Perrot, 12174 Jolynec",narnaud,2023-07-15,픽업트럭,Syros,False,2023-08-14,29104808,신용카드,2,오프라인,2021-02,서유럽,3
Luca Dupont,1993-10-14,32,여,04 72 75 38 66,hebertmarc@club-internet.fr,"rue de Petitjean, 16982 Fouquet",xverdier,2024-10-06,준대형 세단,Syros,False,2025-02-27,31026803,현금,2,온라인,2022-11,서유럽,3
Sophie Rossi,1989-07-17,36,여,+33 8 04 20 56 68,whubert@delaunay.fr,"680, rue Leclercq, 10046 Sainte Franck",simonetienne,2024-08-23,소형 해치백,C'eed,False,2025-01-02,44022436,계좌이체,1,온라인,2020-05,서유럽,0
Sophie Meyer,1964-06-20,61,남,+33 (0)2 98 72 64 62,delattrececile@live.com,"boulevard Patrick Ledoux, 41572 Delorme",lbertin,2023-04-26,준대형 SUV,K4,False,2025-01-02,64739843,계좌이체,3,온라인,2019-03,서유럽,1
Sophie Laurent,1995-10-11,30,여,0225891995,aurelie51@club-internet.fr,"46, rue de Delaunay, 32888 Poirier-sur-Leconte",npascal,2023-07-14,준중형 해치백,K2,False,2023-10-03,65074305,신용카드,3,온라인,2020-12,서유럽,1
Camille Rossi,1997-11-07,28,남,+33 1 63 52 88 28,marcelpereira@olivier.com,"10, rue de Diallo, 42698 Sainte Émilie",thomasgomez,2023-05-11,준대형 SUV,Syros,False,2024-02-27,67233661,현금,1,오프라인,2023-06,서유럽,0
Isabelle Schmidt,1997-12-09,28,남,+33 (0)1 99 78 50 61,menardgeorges@laposte.net,"988, rue de Gay, 66698 Royer-les-Bains",noeldumas,2024-07-01,대형 SUV,Optima / K5,False,2024-10-20,30972957,계좌이체,2,오프라인,2022-08,서유럽,3
Sophie Fischer,1984-12-20,41,남,0361179549,rmercier@hotmail.fr,"boulevard Pierre Weiss, 15361 Daniel",torresmargot,2024-12-21,준대형 세단,K4,False,2025-02-01,40257289,현금,1,오프라인,2020-08,서유럽,3
Thomas Meyer,1969-04-15,56,남,+33 6 21 81 67 04,anais10@coulon.fr,"68, avenue Klein, 64005 Salmon-la-Forêt",adelaide12,2024-05-19,중형 세단,K2,False,2024-07-24,60919513,계좌이체,1,오프라인,2018-09,서유럽,0
Jean Rossi,1997-01-24,28,여,+33 1 94 28 98 11,sledoux@tiscali.fr,"48, chemin Brunel, 74859 Saint Lucasdan",ines93,2023-03-13,중형 세단,KX3,False,2023-09-27,42001172,계좌이체,3,온라인,2018-12,서유럽,2
Thomas Dubois,1989-03-25,36,여,+33 3 38 81 87 16,cvallet@live.com,"329, avenue Anouk Paul, 72579 HamonBourg",ericbreton,2023-06-06,대형 SUV,Seltos,False,2024-04-25,55765983,신용카드,1,오프라인,2018-02,서유럽,0
Elena Fischer,1977-01-05,48,여,03 76 21 36 06,valentine94@turpin.com,"65, avenue de Perrier, 51194 Allain-sur-Mer",michellelouis,2023-12-08,준중형 SUV,Tucson(NX4),False,2024-05-18,63179718,계좌이체,2,온라인,2019-12,서유럽,0
Anna Petit,1993-08-13,32,여,+33 (0)1 14 47 15 99,edelmas@bouygtel.fr,"759, chemin Morel, 74184 Saint Alex-la-Forêt",germainclaude,2023-04-18,픽업트럭,Sportage,False,2024-01-24,54327362,신용카드,3,오프라인,2022-03,서유럽,1
Isabelle Rossi,1973-06-12,52,여,+33 6 22 76 97 30,harnaud@wanadoo.fr,"33, avenue de Morin, 91749 Louis-sur-Riou",adelaide22,2024-02-23,중형 SUV,Syros,False,2024-05-10,35596803,현금,1,온라인,2019-09,서유럽,3
Sophie Rossi,1999-06-12,26,남,+33 (0)1 55 47 00 68,suzannewagner@voila.fr,"12, avenue Madeleine Hoarau, 64097 Caron-les-Bains",qclement,2022-12-03,대형 SUV,Carens MPV,False,2023-09-02,49592240,현금,1,온라인,2022-05,서유럽,0
Isabelle Petit,1992-02-27,33,남,+33 8 01 09 68 72,benjamin77@bouygtel.fr,"520, rue Paul, 27731 Faivredan",margaret27,2024-07-10,준대형 세단,Sonet,False,2025-03-01,43669789,신용카드,2,온라인,2018-04,서유럽,3
Nicolas Dupont,1982-04-09,43,여,+33 4 78 87 24 27,maillardandre@ifrance.com,"chemin de Morvan, 95316 Besnard",bessonjuliette,2024-12-08,준중형 해치백,Accent (HC),False,2025-01-28,29457979,현금,1,오프라인,2019-09,서유럽,3
Nicolas Rossi,1995-12-21,30,남,0534073284,gdevaux@orange.fr,"217, boulevard Lemoine, 81940 Renaud",helene77,2023-10-09,준중형 SUV,Carnival (CKD),False,2025-02-15,28576389,현금,1,오프라인,2022-03,서유럽,3
Nicolas Wagner,1981-02-10,44,여,+33 5 67 83 58 84,ines08@noos.fr,"913, rue de Hamel, 11967 Leconte-la-Forêt",qgomes,2024-06-17,준대형 세단,KX5,False,2024-09-21,32470944,계좌이체,2,오프라인,2020-04,서유럽,3
Camille Rossi,1980-10-26,45,여,0666388282,zpetit@didier.fr,"9, rue Inès Bodin, 07702 Lesage",mailletbernard,2025-01-25,소형 해치백,Pegas,False,2025-02-19,45581026,계좌이체,1,온라인,2022-04,서유럽,0
Isabelle Meyer,1993-01-05,32,남,+33 6 63 20 15 46,davidboucher@peron.com,"23, boulevard de Bertin, 94926 Potier",lemaireelisabeth,2023-08-27,대형 세단,Cerato,False,2025-02-20,51140948,신용카드,3,온라인,2022-08,서유럽,1
Jean Petit,1998-07-16,27,남,+33 (0)3 20 23 15 21,jmuller@raymond.com,"chemin de Bernier, 59730 Dijoux-sur-Vincent",ejulien,2022-11-12,준중형 세단,C'eed CUV,False,2024-11-30,27996237,현금,3,오프라인,2023-05,서유럽,2
Anna Meyer,1977-01-27,48,여,+33 (0)3 16 58 45 63,victoire54@gallet.net,"chemin Audrey Guillou, 54098 Pottier",etiennelebreton,2025-03-27,준중형 SUV,Syros,False,2025-03-29,50137024,계좌이체,1,오프라인,2020-08,서유럽,0
Luca Fischer,1976-08-16,49,남,03 22 92 34 67,richard61@aubert.com,"80, avenue Caroline Guibert, 00184 Larochenec",mmary,2023-10-20,준중형 세단,K4,False,2024-03-16,55884529,계좌이체,1,오프라인,2019-02,서유럽,0
Paul Müller,1987-09-07,38,여,01 07 12 40 84,spelletier@laposte.net,"36, chemin Samson, 18038 Guérin-la-Forêt",cecilehenry,2022-07-02,준중형 해치백,C'eed,False,2023-09-20,36781139,계좌이체,3,오프라인,2019-12,서유럽,2
Camille Petit,1985-10-26,40,남,+33 3 60 96 00 75,xjacquot@marques.com,"boulevard Alain Pasquier, 77481 Delorme-sur-Mer",munozlorraine,2022-07-13,준대형 SUV,KX1,False,2024-03-23,27263935,현금,1,온라인,2018-09,서유럽,3
Nicolas Fischer,1978-01-18,47,여,03 84 26 33 61,timotheeleblanc@marchal.fr,"88, rue de Descamps, 14762 Grégoire",barbieranais,2024-04-27,픽업트럭,KX5,False,2024-05-19,46563257,신용카드,1,온라인,2020-09,서유럽,0
Sophie Müller,1983-12-10,42,여,02 18 67 71 64,charlesastrid@adam.com,"46, rue Paul, 29798 Saint Marcel",claire20,2024-08-24,소형 해치백,Pegas,False,2025-02-08,33104517,현금,3,온라인,2021-04,서유럽,2
Luca Laurent,1997-08-04,28,여,+33 8 08 66 75 19,marc76@tele2.fr,"527, boulevard de Clément, 38397 Martin",matthieu08,2024-11-26,준대형 세단,KX7,False,2025-01-02,49395815,계좌이체,4,오프라인,2018-01,서유럽,1
Paul Dubois,1978-09-19,47,남,01 01 46 71 51,claireroux@leroux.org,"50, avenue Royer, 57663 Bailly-sur-Moreau",massegilles,2024-05-10,픽업트럭,Carnival,False,2024-09-15,29930580,계좌이체,1,오프라인,2019-02,서유럽,3
Isabelle Petit,1998-09-28,27,여,0182775947,celinaleconte@perez.com,"67, chemin de Guillet, 33711 Bourgeois-sur-Julien",barthelemyantoine,2024-08-04,준대형 세단,EV5,True,2025-01-28,34026489,신용카드,1,온라인,2023-02,서유럽,3
Isabelle Schmidt,1971-10-15,54,남,02 50 81 70 37,carpentiervictor@free.fr,"516, rue Suzanne Boutin, 55427 Lopes",lucie75,2023-02-09,준중형 세단,Telluride,False,2025-01-04,53431852,계좌이체,1,오프라인,2022-01,서유럽,0
Isabelle Dubois,1973-04-16,52,남,+33 (0)2 14 82 92 37,margaret99@joubert.fr,"avenue André Mathieu, 65586 Gauthier",perrotantoine,2023-04-04,대형 세단,Sportage,False,2023-12-11,27907055,현금,1,오프라인,2023-10,서유럽,3
Luca Fischer,1989-01-11,36,여,0808180066,audrey77@riou.fr,"chemin de Peron, 80063 Marion-sur-Rey",ilaporte,2023-04-13,준대형 세단,KX3,False,2024-03-05,34106318,현금,2,오프라인,2021-04,서유럽,3
Camille Wagner,1972-01-04,53,여,+33 (0)1 99 78 72 19,qphilippe@lagarde.com,"7, rue de Martinez, 72153 Georges",lefebvrejuliette,2023-02-16,소형 해치백,Sonet,False,2023-10-30,64060521,계좌이체,1,온라인,2023-06,서유럽,0
Elena Dupont,1998-11-09,27,남,04 17 02 00 55,guibertfranck@tele2.fr,"chemin de Lemoine, 23255 Renaud",pierreraynaud,2022-12-21,준중형 세단,K5,False,2023-11-13,45699792,계좌이체,1,오프라인,2021-04,서유럽,0
Camille Laurent,1976-02-04,49,여,+33 (0)5 24 30 25 83,carpentierandree@dupuis.com,"804, chemin de Léger, 30981 Saint Virginiedan",petitjeanvictoire,2024-08-14,픽업트럭,Tucson(NX4),False,2025-02-19,67986282,계좌이체,2,온라인,2021-07,서유럽,0
Isabelle Meyer,1992-10-09,33,남,01 78 45 33 43,margaret78@vasseur.fr,"rue de Guillou, 33613 Lecomtedan",andre60,2023-07-30,픽업트럭,Accent (HC),False,2023-09-14,59702575,신용카드,2,오프라인,2019-05,서유럽,0
Elena Wagner,1979-04-07,46,여,+33 8 05 11 63 78,maggie73@noos.fr,"40, rue Susan Lesage, 27322 Chauvet-les-Bains",odufour,2024-06-12,중형 세단,Carnival,False,2024-12-09,21196763,계좌이체,1,오프라인,2022-09,서유럽,3
Camille Meyer,1966-01-07,59,여,+33 1 29 40 09 75,bernardrenee@colas.org,"765, boulevard Hélène Pelletier, 45981 Andre-sur-Mer",louisisaac,2024-10-07,준중형 SUV,K3,False,2024-11-04,40360801,계좌이체,3,온라인,2020-03,서유럽,2
Paul Petit,1984-02-08,41,여,0322138433,pirespatrick@salmon.com,"69, rue Laurent Leroy, 93095 Marin-les-Bains",royandre,2024-03-03,소형 해치백,Tucson(NX4),False,2024-12-04,67590189,계좌이체,4,오프라인,2018-03,서유럽,1
Camille Müller,1974-09-02,51,여,+33 (0)3 02 55 69 31,gaymaryse@free.fr,"5, boulevard Voisin, 43730 Dumas",laetitia62,2024-04-27,대형 SUV,K2,False,2024-10-04,20816966,신용카드,1,온라인,2021-06,서유럽,3
Jean Wagner,1980-04-27,45,여,+33 (0)1 09 76 32 52,juliebesnard@ifrance.com,"481, rue de Paris, 03756 Ruiz-sur-Andre",paul14,2022-05-15,대형 세단,Sportage,False,2022-10-19,35177190,현금,2,온라인,2020-04,서유럽,3
Camille Dupont,1980-03-17,45,남,06 84 29 53 37,odette28@richard.fr,"18, boulevard Merle, 21200 Clerc",antoinerene,2024-08-07,중형 세단,K3,False,2024-12-24,38251365,계좌이체,1,오프라인,2019-04,서유럽,3
Sophie Meyer,1970-07-28,55,여,0805964870,georgespaul@garcia.net,"9, boulevard de Blondel, 23594 Saint Nath",bouchethortense,2024-07-17,준중형 SUV,KX3,False,2024-08-03,68825785,계좌이체,2,오프라인,2020-08,서유럽,0
Camille Schmidt,1993-03-16,32,남,+33 (0)4 35 63 62 24,lpires@noos.fr,"61, avenue de Descamps, 23551 Payetdan",marie84,2024-03-07,준대형 세단,Seltos,False,2024-07-29,21809163,신용카드,3,온라인,2023-08,서유럽,2
Thomas Meyer,1996-01-14,29,여,+33 (0)2 59 94 46 17,maurice60@munoz.org,"7, avenue de Le Gall, 91260 Bousquet",ddiaz,2022-05-06,대형 세단,Accent (HC),False,2024-03-31,68610388,현금,1,오프라인,2020-09,서유럽,0
Jean Müller,1968-08-31,57,남,+33 (0)6 06 48 02 32,nthibault@wanadoo.fr,"boulevard de Perrin, 84894 Torresboeuf",david12,2023-06-04,준중형 SUV,EV5,True,2024-12-11,43316866,신용카드,1,오프라인,2023-10,서유럽,3
Elena Rossi,1976-02-14,49,남,+33 1 96 06 91 38,reynaudmichele@traore.fr,"9, avenue Capucine Blondel, 39675 Fouquetdan",xneveu,2024-09-24,준중형 해치백,Tucson(NX4),False,2024-11-19,63105564,현금,1,오프라인,2021-10,서유럽,0
Sophie Petit,1991-04-13,34,여,+33 6 78 78 55 97,piresdorothee@lemonnier.com,"818, avenue Philippe, 78747 Neveu",xgosselin,2024-02-16,중형 세단,Seltos,False,2024-07-29,50575039,현금,1,오프라인,2021-07,서유럽,0
Thomas Wagner,1975-05-31,50,여,01 81 36 15 93,benoit76@laposte.net,"38, rue de Leduc, 95962 Blanc",reneemeunier,2023-06-08,준대형 SUV,Accent (HC),False,2024-02-29,58400760,계좌이체,3,오프라인,2023-03,서유럽,1
Sophie Rossi,1971-08-20,54,여,+33 1 31 41 42 15,claude45@deschamps.org,"15, boulevard Petitjean, 99205 Saint Léon-la-Forêt",alvesjeanne,2023-07-15,준중형 SUV,C'eed,False,2025-02-18,20400701,계좌이체,3,온라인,2021-09,서유럽,2
Paul Rossi,1973-07-26,52,여,+33 4 49 42 83 52,humbertalain@tele2.fr,"5, avenue de Delaunay, 23691 WeissVille",reneepayet,2023-07-29,대형 SUV,EV6,True,2023-12-10,61451938,계좌이체,1,오프라인,2018-03,서유럽,0
Isabelle Laurent,1976-08-23,49,여,+33 6 41 77 92 11,da-silvaaimee@free.fr,"160, rue Chrétien, 17209 HervéVille",capucinebecker,2022-05-23,소형 해치백,EV5,True,2025-02-14,61039614,현금,3,오프라인,2023-09,서유럽,1
Nicolas Müller,1982-09-10,43,남,+33 4 15 21 19 97,abarbe@barre.com,"96, avenue de Maillard, 50456 Chevallier-sur-Thomas",hleroux,2023-09-26,준대형 세단,Pegas,False,2024-03-20,55709324,현금,4,온라인,2023-08,서유럽,1
Anna Petit,1990-07-11,35,남,08 04 92 81 87,lemonnierluc@rey.fr,"4, rue Morin, 70645 Voisin",suzannemasse,2025-01-12,준중형 해치백,Seltos,False,2025-03-08,42607650,현금,2,오프라인,2023-04,서유럽,3
Camille Wagner,1965-07-29,60,여,0197910303,mcoste@lebon.fr,"876, avenue Boucher, 09305 Besnardnec",charpentieralexandre,2023-11-16,중형 세단,Cerato,False,2025-02-13,66078044,현금,2,온라인,2021-09,서유럽,0
Paul Laurent,1974-09-10,51,남,01 00 54 28 63,cguyot@wanadoo.fr,"chemin Rémy Léger, 13882 Gimenez",michellemoulin,2025-01-20,준중형 해치백,Rio(pride),False,2025-02-23,46021443,현금,4,온라인,2020-01,서유럽,1
Jean Schmidt,1987-08-11,38,남,+33 1 63 73 38 06,nvoisin@carre.com,"rue Franck Bernard, 95076 Sainte Aimé-la-Forêt",dguillou,2022-09-22,대형 세단,K2,False,2024-07-26,28290736,신용카드,3,오프라인,2022-05,서유럽,2
Camille Petit,1968-04-15,57,여,06 33 82 10 92,loiseaufranck@lopes.com,"68, boulevard Gros, 79398 Leconte",zboucher,2024-10-21,대형 SUV,Telluride,False,2024-10-23,46139432,신용카드,1,온라인,2019-02,서유럽,0
Jean Fischer,1992-12-05,33,여,+33 (0)8 00 96 03 38,maggielacroix@vidal.net,"37, rue Xavier Raymond, 50188 FernandesVille",zchauvet,2023-10-11,준대형 세단,Carens MPV,False,2024-09-17,52517355,신용카드,2,오프라인,2020-02,서유럽,0
Nicolas Müller,1998-01-07,27,여,01 77 88 71 30,josettemahe@laposte.net,"avenue Marcel Dumont, 68986 Navarro",constance93,2023-12-13,대형 세단,C'eed,False,2024-12-08,27760761,현금,2,오프라인,2020-12,서유럽,3
Luca Wagner,1965-06-28,60,여,03 19 75 00 38,madeleine04@pascal.com,"6, rue Chrétien, 83534 Lebrun-la-Forêt",vincentboulanger,2023-12-08,픽업트럭,KX1,False,2024-01-30,40448284,현금,1,오프라인,2020-05,서유럽,3
Luca Schmidt,1982-12-26,43,여,+33 (0)4 78 43 76 01,reneepelletier@potier.com,"63, chemin Parent, 93604 Millet",poiriernicole,2025-02-20,대형 SUV,Seltos,False,2025-03-24,39853308,계좌이체,2,오프라인,2019-07,서유럽,3
Sophie Meyer,1964-09-26,61,남,+33 (0)4 93 95 89 81,michellelemoine@bouygtel.fr,"44, rue Thomas Maury, 12286 Le Roux-sur-Blanchard",nathaliepages,2024-12-03,중형 세단,Optima / K5,False,2025-03-10,62420485,계좌이체,3,온라인,2019-09,서유럽,1
Jean Dupont,1975-03-02,50,남,+33 (0)6 06 28 68 52,fourniermaryse@hubert.fr,"rue Peron, 70441 Grégoire",henrilopes,2023-02-19,준중형 해치백,Zhipao,False,2024-10-28,59361311,신용카드,1,오프라인,2022-04,서유럽,0
Jean Laurent,1965-06-28,60,여,+33 3 59 58 88 55,jeanninevasseur@tiscali.fr,"90, chemin Benjamin Dufour, 25991 Thierry",zoeleleu,2023-08-05,준중형 SUV,Syros,False,2024-01-21,68219033,신용카드,4,온라인,2023-08,서유럽,1
Luca Fischer,1988-10-17,37,여,0469172070,fboutin@reynaud.net,"rue Charlotte Guillet, 74811 Hernandez-la-Forêt",ljoubert,2022-04-26,중형 SUV,K3,False,2023-11-02,31850088,계좌이체,1,온라인,2019-04,서유럽,3
Anna Müller,1974-06-18,51,여,+33 (0)6 84 40 90 02,diane78@laposte.net,"41, rue Barbier, 37354 Sainte Lucie",luctorres,2025-02-20,준중형 세단,Carnival,False,2025-03-04,62740641,신용카드,1,온라인,2023-08,서유럽,0
Elena Dubois,1964-04-04,61,여,+33 (0)6 64 78 50 60,colettemuller@benard.fr,"rue Peron, 65481 Gosselin-sur-Martineau",jeromebrun,2022-05-04,준중형 SUV,Zhipao,False,2024-01-02,61344003,계좌이체,1,온라인,2019-04,서유럽,0
Anna Wagner,1968-10-22,57,여,0625019177,alphonse47@gmail.com,"62, rue Sauvage, 59174 ImbertVille",louisthibault,2023-03-09,픽업트럭,Tucson(NX4),False,2024-01-20,29345636,계좌이체,1,오프라인,2020-12,서유럽,3
Camille Dupont,1965-05-29,60,남,0347070660,ychauvet@dbmail.com,"99, rue Foucher, 25982 Clément",hpetit,2024-01-30,준중형 해치백,C'eed CUV,False,2024-05-30,29832873,계좌이체,2,온라인,2021-12,서유럽,3
Thomas Petit,1984-01-22,41,남,0145169613,bergerraymond@voila.fr,"68, rue Prévost, 27439 Seguin",thibaulteugene,2025-02-25,준중형 해치백,KX1,False,2025-03-15,37455002,신용카드,2,오프라인,2021-08,서유럽,3
Anna Rossi,1988-03-23,37,남,0159480620,nathaliechretien@tiscali.fr,"80, chemin Bonnet, 33020 Pires-les-Bains",alexandrelebrun,2023-02-27,중형 세단,Seltos,False,2024-10-29,42117440,신용카드,1,오프라인,2019-07,서유럽,3
Luca Fischer,1998-12-19,27,여,0252813497,jjulien@orange.fr,"11, boulevard Meyer, 18620 Boulay",mailletgilbert,2023-10-29,준중형 해치백,Rio(pride),False,2024-07-02,51324219,현금,1,온라인,2021-11,서유럽,0
Paul Meyer,1968-09-22,57,여,+33 8 00 99 96 29,sabinechartier@noos.fr,"177, rue Martin Klein, 62155 Dufour",jboucher,2022-09-17,대형 SUV,EV6,True,2024-05-29,59688594,신용카드,1,오프라인,2018-03,서유럽,0
Luca Wagner,1971-04-04,54,여,0675941904,camille90@noos.fr,"38, rue de Ribeiro, 98866 LegrandBourg",aboyer,2024-02-09,대형 SUV,Carnival (CKD),False,2024-09-05,34603277,신용카드,2,온라인,2023-09,서유럽,3
Luca Müller,1965-02-09,60,여,+33 (0)1 61 80 20 31,aurore77@dbmail.com,"rue Alexandrie Legendre, 44450 Gayboeuf",cecile88,2024-09-12,중형 SUV,Syros,False,2024-10-19,19921072,현금,3,온라인,2018-03,서유럽,2
Jean Dubois,1985-10-17,40,여,0809398977,le-gallgregoire@dbmail.com,"32, rue Martin, 73600 Sainte Tristan-les-Bains",josephmoulin,2022-10-20,준대형 SUV,EV5,True,2023-04-07,46500308,신용카드,1,온라인,2018-06,서유럽,0
Sophie Meyer,1983-11-09,42,여,+33 1 04 17 93 95,leon07@blot.org,"1, chemin Masson, 90333 Saint Hélène-sur-Mer",crousset,2023-10-04,준대형 세단,EV6,True,2025-03-28,52641789,현금,1,오프라인,2020-05,서유럽,0
Nicolas Laurent,1996-06-13,29,남,+33 1 07 31 15 67,noelgaudin@noos.fr,"46, rue Neveu, 18030 Hardy",wblin,2023-05-31,소형 해치백,Accent (HC),False,2023-09-30,41791089,신용카드,4,온라인,2022-01,서유럽,2
Camille Müller,1991-04-27,34,남,+33 5 40 54 75 51,hloiseau@orange.fr,"991, rue Guillou, 91917 RocherVille",bruneauzoe,2025-03-03,대형 SUV,Optima / K5,False,2025-03-28,62001011,현금,1,온라인,2021-06,서유럽,0
Nicolas Fischer,1976-12-18,49,남,08 07 17 95 67,bchauvin@yahoo.fr,"avenue de Camus, 44156 Lebreton",marcel75,2024-10-18,준중형 세단,K2,False,2025-01-28,51856058,현금,1,온라인,2018-11,서유럽,0
Isabelle Rossi,1976-09-29,49,남,0281328180,laetitiatorres@benard.org,"63, avenue Charles, 71491 Nicolas",aubryaurore,2023-10-29,중형 SUV,K5,False,2024-02-17,61642290,계좌이체,4,오프라인,2018-07,서유럽,1
Camille Wagner,1998-02-27,27,여,0304564543,hortenselefevre@evrard.fr,"347, boulevard de Payet, 33700 Lévêque-sur-Rivière",carpentiervalerie,2025-02-23,소형 해치백,K4,False,2025-03-24,46595239,현금,2,온라인,2018-05,서유럽,0
Nicolas Schmidt,1969-11-25,56,남,+33 3 22 76 15 84,marthe11@jacquot.org,"91, boulevard Martin Fernandez, 29757 Saint Stéphane",loiseaucapucine,2022-09-29,준대형 세단,K2,False,2025-01-07,25051647,계좌이체,4,온라인,2018-12,서유럽,2
Anna Meyer,1970-08-09,55,남,0185436274,haubert@pages.fr,"56, boulevard Fleury, 85192 Françoisdan",marianne86,2024-10-18,준대형 SUV,Tucson(NX4),False,2024-11-15,31721212,신용카드,1,온라인,2023-07,서유럽,3
Isabelle Dubois,1994-11-26,31,남,0229003916,dos-santosdenise@nicolas.com,"rue Stéphane Mendès, 87374 Girardboeuf",georgespages,2025-03-02,중형 세단,Seltos,False,2025-03-24,51579828,계좌이체,1,온라인,2023-10,서유럽,0
Jean Meyer,1964-07-02,61,여,+33 1 07 39 70 16,briandgilles@buisson.com,"71, avenue de Gay, 41660 Da Costaboeuf",simone44,2025-01-28,대형 SUV,K4,False,2025-02-10,59177768,현금,4,온라인,2023-02,서유럽,1
Anna Meyer,1983-10-08,42,남,0504988645,vvaillant@gomes.com,"82, avenue Capucine Gomez, 55254 Sainte Véronique-sur-Mer",emmanuelchevalier,2022-11-21,중형 SUV,Sorento,False,2024-07-03,37546776,신용카드,4,온라인,2022-01,서유럽,2
Nicolas Laurent,1971-09-06,54,남,02 85 06 34 58,sletellier@tiscali.fr,"chemin Tessier, 88263 Schmitt",jules35,2024-11-12,대형 세단,Accent (HC),False,2024-12-17,36985817,현금,2,온라인,2023-02,서유럽,3
Luca Rossi,1999-08-17,26,여,06 00 52 51 36,uschmitt@lemaire.com,"chemin de Dubois, 87426 Sainte Louise-la-Forêt",zferreira,2022-12-20,준중형 세단,Cerato,False,2023-04-05,59715024,신용카드,1,온라인,2020-12,서유럽,0
Nicolas Dupont,1989-10-18,36,남,+33 1 75 73 32 00,mariemadeleine@orange.fr,"852, boulevard Alain Roy, 35235 Lombard-la-Forêt",jeannine63,2024-08-14,중형 SUV,Pegas,False,2024-11-05,59036907,신용카드,1,온라인,2023-10,서유럽,0
Isabelle Dubois,1999-05-14,26,여,0360749169,victor56@leclercq.fr,"67, rue Charpentier, 42584 Besson-sur-Mer",patrickmaillot,2024-04-09,준중형 세단,Pegas,False,2024-05-14,20874700,현금,3,오프라인,2020-02,서유럽,2
Jean Wagner,1994-09-19,31,여,03 85 38 49 94,nicole77@lelievre.com,"87, rue de Léger, 04640 MaheBourg",bhuet,2022-09-17,중형 세단,KX3,False,2024-11-15,44144421,현금,1,오프라인,2019-09,서유럽,3
Camille Schmidt,1999-12-21,26,여,0575245216,manonfontaine@hotmail.fr,"308, boulevard de Germain, 85211 Marie",hortense46,2023-04-17,중형 SUV,Sorento,False,2023-09-10,44710574,현금,1,온라인,2018-10,서유럽,0
Jean Fischer,1981-01-27,44,여,+33 (0)6 79 84 27 69,bigotchantal@mallet.com,"17, rue de Joseph, 63998 Guyonboeuf",poirierlucie,2023-03-02,준중형 SUV,KX5,False,2024-01-12,61223550,현금,1,온라인,2019-06,서유럽,0
Thomas Dupont,1981-04-24,44,남,03 29 69 05 45,pruvostaugustin@delaunay.com,"50, avenue Suzanne Boyer, 07354 RousseauVille",dblin,2025-03-30,준중형 해치백,Optima / K5,False,2025-03-30,27874992,현금,2,오프라인,2022-12,서유럽,3
Camille Dupont,1968-04-15,57,남,06 68 56 44 92,hortense33@bouygtel.fr,"74, rue de Thomas, 20976 Perrier",luc17,2025-01-27,소형 해치백,K3,False,2025-03-04,65284441,현금,2,오프라인,2020-08,서유럽,0
