이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래방식,제품구매빈도,제품구매경로,제품출시년월,국가,고객 세그먼트,Cluster
Jiho Kumar,1973-10-30,52,여,0808 157 0987,amyward@hotmail.co.uk,"Studio 1, Lee corners, South Reece, TS8 3DB",brett02,2023-09-28,대형 SUV,Grandeur,False,2024-12-07,57870000,계좌이체,2,오프라인,2022-03,아시아,1,2
Minh Sato,1991-09-09,34,남,+441174960217,rebeccawilliams@hotmail.co.uk,"Flat 68, Carol wall, Janicechester, S7 9XJ",clifford88,2023-01-28,준중형 SUV,EV6,True,2024-05-13,72880000,신용카드,1,온라인,2022-05,아시아,1,1
Jisoo Li,1976-04-13,49,여,+44(0)121 496 0364,sheilaparker@hotmail.com,"Studio 4, Lisa lake, Bibistad, N6 3YG",wrightsheila,2023-08-30,준대형 SUV,Tucson,False,2024-05-08,33720000,현금,1,오프라인,2021-07,아시아,2,5
Jiho Tanaka,1971-07-15,54,남,+44(0)113 4960740,oliverwatson@hall.biz,"5 Campbell mills, Collierburgh, B69 3PL",richardsondavid,2022-08-06,대형 세단,Grandeur,False,2023-03-04,57580000,신용카드,1,온라인,2022-03,아시아,2,5
Sooyeon Kumar,1976-08-24,49,남,(0151) 4960595,fraserhelen@bell.com,"Studio 94C, Higgins haven, Port Valerieville, SO32 9XB",lindsey95,2024-12-25,대형 세단,Ioniq 6,True,2024-12-27,73280000,계좌이체,2,오프라인,2023-01,아시아,1,2
Ananda Tanaka,1979-12-09,46,남,0292018100,sian93@hotmail.com,"910 Godfrey bypass, South Jordan, M1B 9EJ",amber92,2024-07-25,중형 세단,Sportage,False,2024-12-11,49420000,신용카드,1,온라인,2021-11,아시아,2,5
Yuki Le,1987-10-19,38,남,03069990359,jordanevans@gmail.com,"79 Carly brook, Bradshawside, E8 7UL",marshcameron,2024-04-13,대형 세단,Elantra,False,2024-10-24,32200000,신용카드,1,오프라인,2020-08,아시아,2,5
Sooyeon Li,1982-06-02,43,여,+44(0)29 2018 0233,kimberley53@gmail.com,"Studio 7, Reed vista, West Toby, L2 0DU",jessicawebster,2022-10-18,중형 세단,i20,False,2024-06-16,25250000,계좌이체,3,온라인,2020-05,아시아,0,0
Ananda Le,1976-09-28,49,남,0121 4960178,carolelong@yahoo.com,"4 Davis cliff, Lake Ryanshire, S0 3AX",pdennis,2022-04-21,소형 해치백,Santa Fe,False,2022-12-12,47380000,신용카드,3,오프라인,2020-10,아시아,3,3
Jisoo Li,1972-03-08,53,여,+44(0)114 4960667,ambermurray@wheeler-shepherd.info,"Flat 92f, Jenna street, Websterfurt, L3 2AF",hmiddleton,2023-01-14,중형 세단,GV70,False,2023-05-14,85400000,계좌이체,3,온라인,2022-08,아시아,1,2
Ananda Kim,1981-08-27,44,남,+44(0)151 4960709,walkergeoffrey@roberts.com,"6 Nigel rue, North Jay, E8K 0QY",williamsnathan,2024-05-20,준중형 해치백,GV70,False,2024-11-05,74600000,신용카드,1,온라인,2022-08,아시아,1,1
Ananda Kumar,1978-08-20,47,남,(0191)4960558,shirley77@campbell.biz,"37 Joseph plaza, Jenkinsberg, W2U 5NB",turnerashley,2022-12-17,준대형 SUV,Sorento,False,2024-12-26,52990000,계좌이체,1,오프라인,2021-04,아시아,0,0
Jiho Kumar,1975-04-22,50,남,0113 496 0028,paula23@adams.com,"47 Waters street, Lake Judith, CH1P 9ZH",daviesteresa,2022-04-20,준대형 세단,Venue,False,2022-11-04,19530000,계좌이체,4,오프라인,2021-01,아시아,3,3
Wei Chen,1966-09-14,59,남,+4428 9018 0304,wayneclarke@stephenson-baker.com,"30 Stephanie course, Goodwinton, EN63 0QZ",chloemurphy,2023-10-04,대형 세단,Tucson,False,2024-08-08,42500000,계좌이체,5,온라인,2021-07,아시아,3,3
Jisoo Li,1970-10-10,55,여,028 9018 0832,rileyjune@sanderson.com,"Studio 9, Sam prairie, North Matthew, EH8 1ZR",kmarsden,2022-08-04,중형 세단,Avante,False,2023-06-15,26170000,현금,1,온라인,2020-09,아시아,0,0
Jisoo Le,1972-04-23,53,여,+44(0)1414960708,carol85@gray-walker.info,"Flat 62, Alexandra passage, Evanston, PA4 4BT",mdickinson,2025-02-26,준중형 세단,Grandeur,False,2025-03-12,59270000,신용카드,1,오프라인,2022-03,아시아,1,2
Ravi Kumar,1977-01-28,48,여,(01632) 960 396,stokesrachael@yahoo.co.uk,"Flat 22, Macdonald village, North Bryanberg, DN6 5XP",ellie21,2025-02-18,준중형 세단,i20,False,2025-03-14,20490000,신용카드,4,오프라인,2020-05,아시아,3,3
Hiroshi Sato,1999-03-04,26,남,+4428 9018 0087,pkennedy@kemp.org,"Flat 38, Nelson dale, Kellyburgh, SG0 8JJ",elliotwells,2022-05-23,대형 세단,Accent,False,2023-06-01,22270000,현금,5,온라인,2019-03,아시아,3,4
Minh Sato,1969-07-10,56,여,+441144960587,patelvincent@hotmail.com,"Studio 94F, Coles locks, Heathermouth, N36 9UL",ucooper,2024-10-09,준대형 SUV,NEXO,True,2025-03-08,52570000,신용카드,5,온라인,2018-03,아시아,3,3
Yuki Chen,1998-06-17,27,남,0141 4960163,jasonwilliamson@hotmail.com,"095 Buckley via, Jeffreyfurt, G5U 9RR",katie21,2023-04-07,준대형 SUV,i20,False,2023-04-17,21000000,계좌이체,1,온라인,2020-05,아시아,0,0
Minh Patel,1995-02-01,30,남,+44909 879 0423,phillipsemma@gmail.com,"489 Louis turnpike, South Connor, TF5 3BT",xlloyd,2024-03-11,픽업트럭,NEXO,True,2024-06-06,59720000,신용카드,1,온라인,2018-03,아시아,1,1
Yuki Sato,1971-05-05,54,여,+4429 2018 0008,wsingh@sanders.com,"Flat 8, Stephens fords, Sylviaview, YO2P 4LU",clarkgordon,2024-12-23,준중형 세단,Tucson,False,2025-01-23,35280000,계좌이체,3,온라인,2021-07,아시아,0,0
Minh Sato,1965-12-20,60,남,+44(0)29 2018 0865,louisehall@mellor.co.uk,"Flat 37, Nathan harbors, Lake Jordanstad, W81 5PW",fowlerderek,2024-04-20,준중형 SUV,G80,False,2025-03-18,76170000,신용카드,1,온라인,2021-05,아시아,1,2
Thanh Kumar,1976-05-15,49,남,+441632 960 214,gillian31@payne-hodgson.org,"81 Turner bypass, North Joe, PR55 8RG",fosterchristian,2024-09-10,대형 세단,Elantra,False,2025-03-17,35560000,현금,4,오프라인,2020-08,아시아,3,3
Minh Nguyen,1980-12-29,45,여,(0131) 4960259,damianbray@yahoo.com,"938 David heights, Elainebury, DT2 6SD",joshua76,2022-08-20,준대형 세단,Avante,False,2022-11-04,20400000,신용카드,2,온라인,2020-09,아시아,2,5
Sooyeon Park,1995-06-28,30,여,+44(0)1134960826,millersam@yahoo.com,"0 Harvey locks, West Leahside, G17 4XL",ujones,2024-02-16,대형 SUV,EV6,True,2024-09-07,71900000,계좌이체,3,온라인,2022-05,아시아,1,1
Thanh Li,1973-02-28,52,여,0116 4960332,natashabrown@mitchell.com,"Studio 92, Antony street, Carolton, DE95 5BR",heatherpearson,2024-04-12,대형 SUV,Kona,True,2025-03-13,42130000,신용카드,2,오프라인,2022-02,아시아,2,5
Ravi Le,1980-11-22,45,여,(0114)4960180,frichardson@hotmail.com,"7 Wilson points, Adrianside, CV0 3RG",gbenson,2023-06-19,준중형 SUV,NEXO,True,2024-11-15,61200000,현금,1,온라인,2018-03,아시아,1,2
Sooyeon Kim,1991-06-02,34,여,+44(0)117 4960975,sinclairmartyn@yahoo.co.uk,"Flat 49e, Kayleigh shoals, West Nicholaschester, FK1B 5SL",pearcevanessa,2022-08-19,준중형 SUV,Avante,False,2025-01-30,27030000,현금,3,오프라인,2020-09,아시아,0,0
Hiroshi Nguyen,1989-10-30,36,남,+4420 74960395,levans@gmail.com,"0 Thompson estate, North Brendafort, G1 4DH",sharonhowe,2024-11-18,대형 세단,Avante,False,2025-02-04,28590000,신용카드,1,온라인,2020-09,아시아,2,5
Yuki Kim,1995-09-26,30,여,(0191) 4960976,kstevens@hughes-jones.com,"60 Schofield square, Brookschester, EC3 3EZ",yatesmargaret,2023-08-23,준대형 SUV,Avante,False,2024-04-18,22070000,계좌이체,6,온라인,2020-09,아시아,3,4
Hiroshi Kumar,1977-01-24,48,여,+44113 4960895,harrydaly@oneill.com,"Studio 6, Turner port, Robertsport, AB00 6XT",irogers,2025-01-27,준중형 SUV,Accent,False,2025-03-10,25180000,현금,1,온라인,2019-03,아시아,0,0
Jisoo Le,1998-01-10,27,남,+44141 496 0497,craig63@yahoo.co.uk,"Studio 04v, Daniel lodge, West Guy, DT7H 9RL",drichards,2024-02-14,소형 해치백,Avante,False,2024-04-15,22580000,현금,1,온라인,2020-09,아시아,0,0
Jisoo Sato,1971-09-22,54,여,+44(0)909 879 0952,dannymartin@outlook.com,"Studio 02x, Griffiths pines, South Amy, DL6M 1PZ",judith98,2024-09-01,대형 SUV,Venue,False,2025-01-09,23010000,현금,1,오프라인,2021-01,아시아,0,0
Wei Le,1991-01-08,34,여,(0131)4960466,mohamed44@quinn.com,"Studio 99, Tina gardens, Martynshire, GL39 6LA",jacobwilson,2024-10-07,준대형 세단,Grandeur,False,2024-12-09,62190000,현금,2,오프라인,2022-03,아시아,1,1
Wei Sato,1998-04-22,27,남,+44(0)1414960297,oliver32@morgan.info,"217 Catherine islands, Maureenstad, M65 7YF",iansmith,2022-06-05,대형 세단,Ioniq 6,True,2023-09-16,76200000,계좌이체,5,온라인,2023-01,아시아,3,4
Ananda Sato,1983-03-05,42,여,020 74960646,kathrynwilson@west.com,"3 Ross lock, Debrafurt, N95 0XS",prestonkathryn,2023-03-05,준대형 SUV,GV70,False,2025-03-07,89400000,신용카드,2,오프라인,2022-08,아시아,1,2
Jiho Nguyen,1968-12-04,57,여,+44118 496 0584,bethan56@quinn-ford.net,"4 Karl village, Fraserberg, L3 7NG",jane31,2022-04-29,소형 해치백,Kona,True,2023-08-09,46700000,계좌이체,1,온라인,2022-02,아시아,0,0
Jiho Chen,1980-01-13,45,남,029 2018796,rhodesnaomi@hotmail.com,"Studio 9, Carl valley, Lake Cherylfort, WV41 4HB",gavin50,2022-11-27,준중형 해치백,Accent,False,2023-11-16,23460000,신용카드,2,오프라인,2019-03,아시아,2,5
Wei Park,1989-03-12,36,여,0114 496 0228,ldickinson@yahoo.co.uk,"3 Maria drives, North Barry, G5 9EH",markwilson,2023-03-06,소형 해치백,Venue,False,2023-08-06,21120000,현금,1,오프라인,2021-01,아시아,0,0
Jiho Sato,1981-07-04,44,남,+441414960771,xgill@williams.com,"Flat 30l, Graham fords, North Kylebury, PA8M 2JA",mathewedwards,2022-10-21,중형 SUV,Accent,False,2023-01-01,25790000,현금,6,온라인,2019-03,아시아,3,3
Minh Sato,1972-11-21,53,여,+44191 496 0471,priceben@adams.com,"Flat 7, Bell green, Elliottville, RM75 6EZ",arthurparker,2023-10-10,대형 세단,GV70,False,2025-02-17,89190000,현금,4,오프라인,2022-08,아시아,3,3
Wei Sato,1979-09-20,46,남,(0191)4960727,leanne12@saunders.org,"Studio 8, Edwards parkways, East Danielle, L79 2EF",hopkinsanthony,2022-10-02,준중형 해치백,K5,False,2025-01-03,60330000,신용카드,1,온라인,2020-01,아시아,1,2
Jiho Kumar,1995-05-28,30,남,+44(0)1614960035,daviesliam@yahoo.co.uk,"Flat 03M, Jay cove, Annettestad, N17 2GF",vharding,2023-04-30,준중형 SUV,Santa Fe,False,2023-11-10,33280000,신용카드,1,오프라인,2020-10,아시아,2,5
Yuki Chen,1979-03-28,46,남,+44(0)191 4960722,gregory22@patel.co.uk,"Studio 63, David square, East Gregory, GU7 4WW",lbuckley,2023-08-26,대형 세단,GV70,False,2023-09-04,77810000,현금,2,온라인,2022-08,아시아,1,2
Hiroshi Li,1982-09-07,43,여,+44(0)151 4960020,rmiller@hotmail.com,"Flat 77, Johnson falls, Pughborough, N63 2TU",knewton,2022-12-04,대형 SUV,Avante,False,2024-06-13,24800000,계좌이체,4,오프라인,2020-09,아시아,3,4
Ananda Tanaka,1974-09-13,51,여,(0113) 4960616,sandersrachael@yahoo.com,"Studio 22, Hardy islands, Lloydberg, N5U 3SJ",zking,2022-11-25,소형 해치백,GV70,False,2024-08-20,88370000,현금,3,오프라인,2022-08,아시아,1,2
Sooyeon Li,1975-12-23,50,여,+44808 1570942,vpatel@smith.net,"3 Francis shoal, North Abdulshire, L2B 2FE",martinpatel,2023-07-03,준대형 SUV,Accent,False,2024-08-03,23860000,현금,2,온라인,2019-03,아시아,0,0
Thanh Chen,1971-11-29,54,남,01632960582,zwilkinson@hotmail.com,"185 Humphreys centers, Gordonport, B06 9WU",edawson,2023-04-14,픽업트럭,Sportage,False,2025-01-19,33660000,현금,1,오프라인,2021-11,아시아,2,5
Thanh Patel,1985-08-04,40,남,0191 4960566,xmorris@outlook.com,"Studio 23s, Nathan ridge, Lake Amanda, G13 0ND",kirbymolly,2023-04-27,중형 세단,K5,False,2024-06-13,59070000,신용카드,1,오프라인,2020-01,아시아,1,1
Ravi Kim,1979-01-04,46,여,+44(0)3069990147,jonesjayne@dyer-carter.org,"283 Georgina brooks, East Annchester, BA20 0QH",sheilaholt,2024-07-23,준중형 해치백,GV70,False,2024-12-23,76370000,현금,3,오프라인,2022-08,아시아,1,2
Minh Li,1977-01-28,48,여,+44909 8790105,antony43@sutton.com,"Studio 29, Darren mission, Wilkinsonchester, W63 2XH",ndavies,2023-02-27,준대형 세단,Sportage,False,2024-11-20,34810000,계좌이체,1,온라인,2021-11,아시아,0,0
Thanh Chen,1997-02-27,28,여,+441414960185,dwilliamson@smith.com,"3 Cheryl parkways, East Eric, PL2B 5GT",hillvictor,2025-03-22,소형 해치백,G80,False,2025-03-22,84440000,계좌이체,1,오프라인,2021-05,아시아,1,1
Ravi Nguyen,1991-11-17,34,남,(0161) 496 0761,udavey@mason-thompson.co.uk,"Flat 19, Jade rest, Andrewsville, MK15 9XJ",bruce72,2025-02-12,준중형 세단,EV6,True,2025-02-12,71980000,계좌이체,3,오프라인,2022-05,아시아,1,1
Thanh Park,1974-07-02,51,여,+44(0)292018665,nmiller@hotmail.com,"73 Richards ramp, West Victor, M60 4FY",williamsteresa,2024-04-07,픽업트럭,Santa Fe,False,2024-06-01,34880000,현금,1,오프라인,2020-10,아시아,2,5
Jisoo Park,1992-04-13,33,여,0151 496 0941,jjones@gmail.com,"Studio 74J, Vincent vista, Carolview, L9 1ST",gerardbryant,2024-06-14,대형 세단,Santa Fe,False,2025-02-13,42450000,계좌이체,1,오프라인,2020-10,아시아,0,0
Jiho Kumar,1987-08-12,38,남,(0117) 4960698,lharris@day.org,"Flat 5, Terence village, East Traceyberg, BH66 8ZB",grayantony,2023-05-25,준중형 SUV,Ioniq 6,True,2024-07-13,89640000,신용카드,2,온라인,2023-01,아시아,1,1
Ananda Patel,1981-06-09,44,여,+44131 4960813,rosieroberts@jones-king.net,"Flat 18w, Robinson freeway, East Katiestad, B0 0QR",xwarner,2024-10-12,대형 세단,Avante,False,2024-12-20,21900000,현금,1,오프라인,2020-09,아시아,0,0
Jiho Kim,1978-01-30,47,남,(0113) 4960564,anna37@king.info,"Studio 01H, Marsden wells, North Nathanborough, IG10 4NN",wayne99,2022-06-06,중형 세단,Accent,False,2024-02-07,27640000,현금,2,오프라인,2019-03,아시아,0,0
Jisoo Nguyen,1997-03-06,28,남,+44(0)118 4960568,roger40@yahoo.co.uk,"5 Talbot mews, Khanchester, G21 5JH",chloe04,2024-05-14,준대형 세단,Sorento,False,2024-09-10,61890000,계좌이체,1,온라인,2021-04,아시아,1,1
Sooyeon Chen,1996-12-08,29,남,(0141) 496 0484,jodie39@yahoo.co.uk,"3 Terry avenue, Burkeberg, HP5 1GZ",harperfrederick,2023-12-03,소형 해치백,EV6,True,2024-03-11,77160000,계좌이체,1,온라인,2022-05,아시아,1,1
Ravi Sato,1976-10-28,49,여,+44(0)1144960173,bhughes@wilkinson-kaur.com,"Studio 58u, Jeremy prairie, Ronaldstad, N16 8PU",jayne17,2022-07-12,대형 SUV,Avante,False,2022-10-05,29750000,현금,6,오프라인,2020-09,아시아,3,3
Ravi Nguyen,1987-02-10,38,남,0114 4960805,smithsandra@hotmail.com,"Flat 53, Clements hills, Cameronport, W1 9NY",sryan,2024-10-22,준대형 SUV,i20,False,2024-11-30,25900000,현금,2,온라인,2020-05,아시아,0,0
Hiroshi Le,1966-09-27,59,남,0131 4960378,gordonharvey@oliver.com,"08 Lowe extensions, West Clivefort, W3A 8SG",lydia15,2023-01-07,준대형 세단,G80,False,2023-07-15,84640000,신용카드,1,온라인,2021-05,아시아,1,2
Ananda Kumar,1994-07-16,31,남,+44(0)29 2018 0465,eric78@warner.com,"Studio 73s, Taylor parks, Lake Catherinemouth, IM2W 9DN",rhysbradley,2022-10-29,준중형 해치백,Ioniq 6,True,2023-12-02,77240000,계좌이체,3,온라인,2023-01,아시아,1,1
Minh Patel,1989-11-02,36,남,(028)9018645,conwaynathan@kent.com,"083 O'Brien squares, New Marilynchester, NE4M 4RL",jasmine97,2024-09-21,중형 세단,Santa Fe,False,2024-12-01,47470000,계좌이체,2,온라인,2020-10,아시아,0,0
Jiho Sato,1994-01-20,31,여,+44116 4960857,maria28@outlook.com,"2 Chloe summit, Elliottland, M88 9TD",vbrown,2024-09-17,준대형 SUV,Venue,False,2025-01-11,21810000,현금,2,온라인,2021-01,아시아,0,0
Jisoo Park,1982-02-14,43,여,0131 496 0143,kcarter@hotmail.co.uk,"2 Kim burgs, New Stephanie, SY6 1YJ",flee,2023-06-01,준중형 해치백,K5,False,2024-02-17,65650000,계좌이체,2,온라인,2020-01,아시아,1,2
Jiho Li,1965-01-07,60,남,+44(0)9098790099,williamsmelissa@middleton.net,"Studio 33, Archer village, Leanneside, W0 3FR",morrisadrian,2022-10-06,준중형 해치백,Avante,False,2025-03-18,19720000,계좌이체,2,오프라인,2020-09,아시아,0,0
Wei Li,1980-08-27,45,남,+44(0)306 999 0910,marionrobinson@macdonald-taylor.com,"609 Hollie pines, Eleanorville, E0E 0FN",bethanymartin,2022-07-17,중형 SUV,K5,False,2024-01-01,69830000,신용카드,1,온라인,2020-01,아시아,1,1
Ananda Tanaka,1998-01-04,27,여,(0117) 4960662,brennandamien@hotmail.co.uk,"5 Marian circle, Lake Brettside, WR6 5NT",nicholashorton,2023-11-20,준대형 SUV,Sportage,False,2024-09-06,35650000,계좌이체,3,오프라인,2021-11,아시아,0,0
Yuki Le,1980-07-15,45,여,(020)74960792,connor16@hotmail.com,"Studio 90Q, Natasha garden, Jonesmouth, G8 6SA",frederick42,2024-06-17,중형 세단,Sorento,False,2024-07-18,51630000,신용카드,3,오프라인,2021-04,아시아,3,3
Ravi Tanaka,1989-12-13,36,여,08081570441,howellsstuart@hotmail.co.uk,"Studio 35I, Bolton greens, West Harryton, B27 0LF",bburton,2022-10-25,준대형 세단,G80,False,2024-12-23,77410000,신용카드,2,오프라인,2021-05,아시아,1,1
Hiroshi Sato,1971-03-21,54,남,+44118 4960447,jennasaunders@bennett.biz,"Studio 6, Booth wall, New Kyleburgh, M9J 4PQ",davisfrank,2023-08-23,중형 SUV,Santa Fe,False,2024-10-13,44780000,신용카드,4,오프라인,2020-10,아시아,3,3
Jisoo Chen,1995-02-13,30,여,+44(0)115 4960717,michaelgraham@yahoo.co.uk,"40 Stewart fords, New Valerieborough, W7S 8JJ",carolabbott,2024-04-06,대형 SUV,EV6,True,2024-09-27,86680000,현금,3,온라인,2022-05,아시아,1,1
Wei Patel,1965-03-12,60,남,+448081570413,johnsonnathan@oconnor-mason.biz,"262 Pritchard expressway, West Josephburgh, E90 7TF",phillipsleonard,2022-07-11,준대형 세단,Grandeur,False,2022-08-10,54320000,계좌이체,1,오프라인,2022-03,아시아,1,2
Jiho Chen,1968-02-05,57,여,01632 960794,samdixon@gray.com,"Studio 94g, Gareth terrace, Paigemouth, W2 4YS",justinwilliamson,2022-07-30,준중형 세단,i20,False,2024-09-07,22080000,계좌이체,4,오프라인,2020-05,아시아,3,3
Wei Tanaka,1984-07-24,41,남,+44(0)3069990224,annette32@spencer-ashton.org,"4 Carey courts, Stevensfort, G8 7GB",joshuahiggins,2023-09-02,준대형 세단,Elantra,False,2024-03-03,34850000,현금,1,온라인,2020-08,아시아,2,5
Jisoo Chen,1990-11-06,35,남,0808 1570621,michellehayward@hotmail.co.uk,"77 Holland court, Smithmouth, B0U 3ZT",barrettjoshua,2025-01-10,중형 SUV,G80,False,2025-02-22,88720000,현금,3,오프라인,2021-05,아시아,1,1
Jisoo Chen,1975-12-05,50,여,(0116)4960113,reidmegan@gmail.com,"Flat 21, Howard island, Janeville, CH92 7AT",stewart36,2022-06-22,준대형 세단,Avante,False,2023-02-01,27940000,신용카드,4,온라인,2020-09,아시아,3,3
Ravi Le,1979-08-06,46,여,03069990442,gareth16@connor.com,"0 Rogers view, Robertsfort, S90 2SQ",neil32,2024-03-30,중형 SUV,EV6,True,2024-09-04,79240000,신용카드,4,오프라인,2022-05,아시아,3,3
Minh Park,1969-08-13,56,남,+44(0)28 9018794,mathewwells@evans.com,"9 Stanley plain, East Sharonside, SY49 4UX",gjames,2025-02-10,준대형 SUV,GV70,False,2025-03-22,80890000,현금,2,오프라인,2022-08,아시아,1,2
Thanh Li,1972-11-18,53,여,+44117 496 0760,graeme74@lewis.info,"074 Graham mews, Samuelton, OX83 9FH",bernard48,2023-05-22,대형 세단,NEXO,True,2024-06-21,68840000,계좌이체,2,오프라인,2018-03,아시아,1,2
Jisoo Kim,1993-12-26,32,남,+44(0)118 496 0708,wilsondebra@newton-williams.com,"2 Abigail spur, Port Stephen, ZE5 3HA",brownlorraine,2024-06-14,준중형 해치백,Elantra,False,2024-11-07,44740000,현금,2,온라인,2020-08,아시아,2,5
Minh Kim,1981-03-02,44,남,+44(0)3069990467,blackburnpaul@reynolds.com,"Flat 6, Daniel prairie, South Kirstyberg, G73 9XY",ncox,2022-06-08,준중형 해치백,Sportage,False,2024-02-01,42630000,현금,2,오프라인,2021-11,아시아,2,5
Yuki Kumar,1964-11-07,61,여,+44191 496 0548,qjones@smith-bentley.org,"6 Lewis stream, South Jake, E5 9XQ",hugh82,2024-09-06,준중형 SUV,Accent,False,2025-01-04,20370000,신용카드,3,오프라인,2019-03,아시아,2,5
Ananda Patel,1974-06-17,51,여,(0113) 4960340,dennis53@ali-holland.com,"Flat 94z, Williams stravenue, North Kevinside, M02 8FF",sallywilliams,2023-06-22,준중형 해치백,GV70,False,2023-06-22,80020000,현금,1,온라인,2022-08,아시아,1,2
Fatima Ali,1974-05-28,51,여,(0141) 4960208,hughescharlene@hotmail.com,"Flat 53, Webster forges, Sandratown, M1 9EX",lynnharrison,2022-09-13,대형 세단,Santa Fe,False,2025-01-12,35410000,신용카드,3,오프라인,2020-10,중동아프리카,2,5
Ali Saleh,1972-02-26,53,남,+4429 2018612,anna04@outlook.com,"0 Foster forges, West Rachelchester, B1 8JW",clarehopkins,2022-08-17,대형 세단,Sorento,False,2023-05-17,65370000,현금,1,온라인,2021-04,중동아프리카,1,2
Mohamed Jafari,1977-11-21,48,남,+441154960961,harveyabbie@hotmail.com,"66 Wilson via, Graemefurt, BH4X 2TS",ashleighhodgson,2022-05-09,준대형 세단,EV6,True,2022-10-22,84240000,신용카드,2,온라인,2022-05,중동아프리카,1,2
Samira Khalid,1970-03-30,55,남,0131 4960305,dylanhughes@yahoo.com,"86 Abigail lodge, East Elliott, G7 6TA",tbaker,2023-11-22,준중형 해치백,Elantra,False,2024-08-20,31550000,신용카드,1,온라인,2020-08,중동아프리카,2,5
Samira Jafari,1991-06-24,34,남,(0116) 496 0241,cdavis@hotmail.co.uk,"Studio 7, Cheryl estate, Lake Gavinstad, B6 8NW",jturner,2022-10-12,중형 세단,Grandeur,False,2023-10-12,63480000,현금,6,온라인,2022-03,중동아프리카,3,4
Fatima Hassan,1985-07-23,40,남,(0909)8790434,samantha68@may.com,"Flat 95k, Smith turnpike, North Tracey, SM4M 1EZ",irussell,2024-08-02,픽업트럭,i20,False,2024-09-02,28020000,현금,1,온라인,2020-05,중동아프리카,0,0
Ahmed Hassan,1974-03-26,51,여,+44(0)151 4960306,eric59@knight-taylor.com,"Studio 68, Carol lodge, Jackstad, E0 1GQ",dominic41,2023-01-14,대형 SUV,NEXO,True,2024-02-01,54730000,현금,4,온라인,2018-03,중동아프리카,3,3
Ali Mansour,1966-03-29,59,여,+44115 496 0604,westshane@yahoo.co.uk,"860 Reece estates, Lake Reeceville, W8W 1DL",singhrhys,2023-07-06,대형 세단,Sorento,False,2024-07-08,64330000,계좌이체,1,오프라인,2021-04,중동아프리카,1,2
Ali Mansour,1972-03-11,53,남,0118 4960171,vthomas@gmail.com,"90 Gibson rue, Heathermouth, N5A 1HT",francis58,2022-12-13,소형 해치백,EV6,True,2023-06-16,83270000,계좌이체,1,오프라인,2022-05,중동아프리카,1,2
Mina Rahimi,1965-10-14,60,남,0161 496 0288,jonesjade@hotmail.co.uk,"16 Rachel burgs, Port Amberfort, G39 4UU",wilkinsondanielle,2023-09-08,준대형 세단,Accent,False,2024-03-02,21350000,계좌이체,3,온라인,2019-03,중동아프리카,0,0
Omar Rahimi,1966-12-28,59,남,+44151 496 0681,mitchellkaur@wood.info,"4 Chamberlain trafficway, East Hannah, G16 6ZR",caroline46,2025-01-29,중형 SUV,Ioniq 6,True,2025-03-15,75810000,신용카드,6,오프라인,2023-01,중동아프리카,3,3
Mohamed Ibrahim,1965-08-08,60,여,(0141) 496 0751,smithjulie@outlook.com,"01 Lawrence view, South Liam, W0 3QB",charles43,2025-03-26,픽업트럭,Sorento,False,2025-03-30,52770000,계좌이체,4,오프라인,2021-04,중동아프리카,3,3
Layla Ali,1971-11-26,54,여,0289018839,joanna48@quinn.com,"Studio 10, Taylor cape, North Laura, S7 8RN",pedwards,2023-03-24,중형 SUV,i20,False,2024-08-23,27930000,계좌이체,4,온라인,2020-05,중동아프리카,3,3
Mohamed Khalid,1986-09-14,39,여,+44(0)1174960481,roseterence@walker-burton.com,"Flat 5, Smith junction, Jamieberg, E7H 1FJ",lynne78,2022-08-30,준중형 세단,Accent,False,2024-02-11,27230000,신용카드,2,오프라인,2019-03,중동아프리카,2,5
Mohamed Ali,1988-11-24,37,남,+44118 496 0260,julianhunter@gmail.com,"Flat 65X, Davison mountain, Dalestad, W1 7HB",yblake,2023-05-14,픽업트럭,GV70,False,2024-12-20,79620000,신용카드,1,온라인,2022-08,중동아프리카,1,1
Zahra Ali,1996-12-15,29,여,(0191) 4960370,jonesmohammad@hill.info,"85 Davies lights, East Lynneburgh, EX6 2TG",jordan76,2024-01-25,대형 SUV,Ioniq 6,True,2024-08-06,89810000,현금,1,온라인,2023-01,중동아프리카,1,1
Omar Mansour,1973-07-04,52,남,01134960763,tharding@hewitt.net,"Studio 2, Butler forge, Atkinsonfort, B6S 4WW",owright,2022-12-29,대형 세단,i20,False,2023-03-28,19740000,계좌이체,1,오프라인,2020-05,중동아프리카,0,0
Mohamed Farsi,1987-01-06,38,남,+44306 9990534,richard89@jones.biz,"Studio 76, Russell island, Lake Abbie, HG6R 7WZ",vknight,2023-09-16,소형 해치백,G80,False,2024-03-31,74430000,계좌이체,1,온라인,2021-05,중동아프리카,1,1
Ali Benali,1975-01-19,50,여,(0151) 496 0190,sean27@taylor.com,"0 Clive row, South Timothy, E7 7SZ",morgankenneth,2024-01-17,대형 SUV,Sportage,False,2024-05-23,32230000,신용카드,1,온라인,2021-11,중동아프리카,2,5
